len_domain,max_len_labels_subdomain,character_entropy,number_numerical_characters,ratio_numerical_characters,max_len_cont_num_chars,max_len_cont_alpha_chars,max_len_cont_same_alpha_chars,ratio_vowels,max_length_continuous_consonants,number_distinct_A_records,ip_entropy_domain_name,number_distinct_NS_records,similarity_NS_domain_name,Class
11,8,3.1,0,0.0,0,8,1,0.4545454545454545,2,0,0.0,12,12.86,benign
12,9,3.6,0,0.0,0,9,1,0.3333333333333333,4,0,0.0,4,8.67,benign
10,7,3.1,0,0.0,0,7,1,0.3,3,0,0.0,4,8.67,benign
9,6,3.2,0,0.0,0,6,1,0.4444444444444444,1,6,0.65,12,11.53,benign
11,8,2.8,0,0.0,0,8,1,0.3636363636363636,2,2,1.0,4,8.33,benign
12,9,3.3,0,0.0,0,9,1,0.3333333333333333,3,5,2.32,19,10.53,benign
12,9,3.1,0,0.0,0,9,1,0.4166666666666667,1,5,0.72,19,10.21,benign
9,6,3.2,0,0.0,0,6,1,0.2222222222222222,5,69,0.76,4,8.83,benign
20,17,3.3,0,0.0,0,17,1,0.35,2,1,0.0,5,1.4,benign
9,6,2.7,1,0.1111111111111111,1,5,1,0.3333333333333333,2,1,0.0,13,5.69,benign
9,6,3.2,0,0.0,0,6,1,0.3333333333333333,2,1,0.0,10,9.78,benign
9,6,2.9,0,0.0,0,6,1,0.3333333333333333,3,2,1.0,4,8.83,benign
11,8,3.1,0,0.0,0,8,1,0.3636363636363636,2,0,0.0,4,8.17,benign
11,8,3.3,0,0.0,0,8,1,0.3636363636363636,4,0,0.0,4,7.33,benign
12,9,3.3,0,0.0,0,9,1,0.3333333333333333,3,1,0.0,12,10.21,benign
11,8,3.3,0,0.0,0,8,1,0.3636363636363636,2,1,0.0,4,8.83,benign
9,5,2.6,0,0.0,0,5,2,0.4444444444444444,2,4,2.0,6,4.6,benign
17,14,3.5,0,0.0,0,14,1,0.2941176470588235,3,2,0.0,4,1.0,benign
8,5,2.8,0,0.0,0,5,2,0.125,3,5,1.92,2,1.0,benign
12,9,3.1,0,0.0,0,9,1,0.25,3,1,0.0,10,10.8,benign
8,5,2.8,0,0.0,0,5,1,0.125,5,0,0.0,8,10.89,benign
14,11,3.2,0,0.0,0,11,2,0.2857142857142857,5,28,1.84,4,8.0,benign
11,8,2.6,0,0.0,0,8,2,0.4545454545454545,2,5,0.0,7,9.14,benign
9,6,2.7,0,0.0,0,6,1,0.2222222222222222,5,0,0.0,4,8.67,benign
9,6,3.2,0,0.0,0,6,1,0.1111111111111111,6,107,2.78,4,8.83,benign
18,15,3.3,0,0.0,0,15,2,0.4444444444444444,2,0,0.0,4,8.33,benign
11,8,2.9,0,0.0,0,8,2,0.3636363636363636,3,4,0.0,4,16.17,benign
13,10,3.2,0,0.0,0,10,1,0.3846153846153846,3,4,0.0,4,1.0,benign
6,3,2.6,0,0.0,0,3,1,0.1666666666666666,3,3,0.92,4,3.67,benign
15,12,3.5,0,0.0,0,12,1,0.3333333333333333,3,19,4.25,10,10.62,benign
14,11,3.5,0,0.0,0,11,1,0.3571428571428571,2,2,1.0,14,8.96,benign
